Name,API,Most Followed Acount Followers
Sigourney Weaver,"twurl ""/1.1/users/search.json?count=1&q=Sigourney Weaver"" | jq '.[] | .followers_count'$'\n' >> output.log",15252
Barbra Streisand,"twurl ""/1.1/users/search.json?count=1&q=Barbra Streisand"" | jq '.[] | .followers_count'$'\n' >> output.log",516251
Raquel Welch,"twurl ""/1.1/users/search.json?count=1&q=Raquel Welch"" | jq '.[] | .followers_count'$'\n' >> output.log",13604
Joanne Woodward,"twurl ""/1.1/users/search.json?count=1&q=Joanne Woodward"" | jq '.[] | .followers_count'$'\n' >> output.log",388
Shirley Booth,"twurl ""/1.1/users/search.json?count=1&q=Shirley Booth"" | jq '.[] | .followers_count'$'\n' >> output.log",323
Mercedes McCambridge,"twurl ""/1.1/users/search.json?count=1&q=Mercedes McCambridge"" | jq '.[] | .followers_count'$'\n' >> output.log",
Anjelica Huston,"twurl ""/1.1/users/search.json?count=1&q=Anjelica Huston"" | jq '.[] | .followers_count'$'\n' >> output.log",12778
Dianne Wiest,"twurl ""/1.1/users/search.json?count=1&q=Dianne Wiest"" | jq '.[] | .followers_count'$'\n' >> output.log",401
Goldie Hawn,"twurl ""/1.1/users/search.json?count=1&q=Goldie Hawn"" | jq '.[] | .followers_count'$'\n' >> output.log",765935
Judy Davis,"twurl ""/1.1/users/search.json?count=1&q=Judy Davis"" | jq '.[] | .followers_count'$'\n' >> output.log",6275
Claudia Cardinale,"twurl ""/1.1/users/search.json?count=1&q=Claudia Cardinale"" | jq '.[] | .followers_count'$'\n' >> output.log",1037
Gwyneth Paltrow,"twurl ""/1.1/users/search.json?count=1&q=Gwyneth Paltrow"" | jq '.[] | .followers_count'$'\n' >> output.log",2915802
Julianne Moore,"twurl ""/1.1/users/search.json?count=1&q=Julianne Moore"" | jq '.[] | .followers_count'$'\n' >> output.log",876342
Debra Winger,"twurl ""/1.1/users/search.json?count=1&q=Debra Winger"" | jq '.[] | .followers_count'$'\n' >> output.log",222
Christina Ricci,"twurl ""/1.1/users/search.json?count=1&q=Christina Ricci"" | jq '.[] | .followers_count'$'\n' >> output.log",106660
Juliette Binoche,"twurl ""/1.1/users/search.json?count=1&q=Juliette Binoche"" | jq '.[] | .followers_count'$'\n' >> output.log",17980
Daryl Hannah,"twurl ""/1.1/users/search.json?count=1&q=Daryl Hannah"" | jq '.[] | .followers_count'$'\n' >> output.log",43947
Whoopi Goldberg,"twurl ""/1.1/users/search.json?count=1&q=Whoopi Goldberg"" | jq '.[] | .followers_count'$'\n' >> output.log",1355743
Benicio Del Toro,"twurl ""/1.1/users/search.json?count=1&q=Benicio Del Toro"" | jq '.[] | .followers_count'$'\n' >> output.log",6707
